date,open,high,low,close,volume
2025-04-28 09:15:00+05:30,54610.3,55283.8,54582.35,55141.65,0
2025-04-28 09:45:00+05:30,55140.9,55293.55,55127.75,55288.2,0
2025-04-28 10:15:00+05:30,55289.4,55328.65,55183.5,55261.35,0
2025-04-28 10:45:00+05:30,55262.6,55303.85,55159.2,55168.8,0
2025-04-28 11:15:00+05:30,55169.55,55284.65,55121.6,55262.35,0
2025-04-28 11:45:00+05:30,55262.6,55390.9,55262.6,55349.35,0
2025-04-28 12:15:00+05:30,55347.95,55518.45,55343.35,55452.1,0
2025-04-28 12:45:00+05:30,55458.25,55577.4,55436.45,55514.75,0
2025-04-28 13:15:00+05:30,55519.7,55519.7,55423.15,55493.0,0
2025-04-28 13:45:00+05:30,55489.65,55520.65,55439.4,55511.05,0
2025-04-28 14:15:00+05:30,55519.25,55527.1,55323.8,55350.95,0
2025-04-28 14:45:00+05:30,55355.85,55488.85,55316.15,55422.4,0
2025-04-28 15:15:00+05:30,55422.25,55446.6,55377.5,55428.1,0
2025-04-29 09:15:00+05:30,55524.35,55957.75,55473.7,55521.4,0
2025-04-29 09:45:00+05:30,55526.9,55708.55,55494.2,55529.05,0
2025-04-29 10:15:00+05:30,55530.5,55549.4,55387.45,55388.7,0
2025-04-29 10:45:00+05:30,55391.05,55514.3,55370.55,55454.95,0
2025-04-29 11:15:00+05:30,55454.75,55482.85,55343.95,55434.75,0
2025-04-29 11:45:00+05:30,55436.75,55440.05,55306.2,55352.25,0
2025-04-29 12:15:00+05:30,55352.6,55449.5,55288.25,55428.8,0
2025-04-29 12:45:00+05:30,55416.7,55548.45,55386.75,55460.0,0
2025-04-29 13:15:00+05:30,55459.2,55479.3,55402.65,55416.75,0
2025-04-29 13:45:00+05:30,55417.0,55461.8,55402.7,55446.65,0
2025-04-29 14:15:00+05:30,55447.5,55523.7,55434.0,55485.15,0
2025-04-29 14:45:00+05:30,55483.5,55492.4,55391.8,55392.55,0
2025-04-29 15:15:00+05:30,55390.65,55400.15,55262.4,55301.1,0
2025-04-30 09:15:00+05:30,55382.4,55417.55,55093.2,55340.7,0
2025-04-30 09:45:00+05:30,55335.45,55478.25,55240.85,55247.8,0
2025-04-30 10:15:00+05:30,55249.4,55291.75,55047.3,55135.9,0
2025-04-30 10:45:00+05:30,55138.1,55241.4,55106.75,55158.4,0
2025-04-30 11:15:00+05:30,55159.7,55254.2,55133.25,55184.4,0
2025-04-30 11:45:00+05:30,55184.7,55185.45,55115.95,55131.4,0
2025-04-30 12:15:00+05:30,55132.35,55270.0,55103.95,55246.35,0
2025-04-30 12:45:00+05:30,55246.75,55283.95,55207.2,55225.65,0
2025-04-30 13:15:00+05:30,55222.0,55248.2,55159.15,55240.2,0
2025-04-30 13:45:00+05:30,55237.0,55252.15,55135.3,55170.85,0
2025-04-30 14:15:00+05:30,55171.35,55174.15,55092.75,55142.5,0
2025-04-30 14:45:00+05:30,55142.3,55233.65,55105.35,55136.65,0
2025-04-30 15:15:00+05:30,55138.2,55146.95,54723.7,55087.15,0
2025-05-02 09:15:00+05:30,55100.95,55691.95,55099.05,55522.4,0
2025-05-02 09:45:00+05:30,55521.4,55593.0,55476.4,55579.9,0
2025-05-02 10:15:00+05:30,55579.75,55594.8,55427.85,55510.1,0
2025-05-02 10:45:00+05:30,55509.7,55529.0,55321.6,55370.45,0
2025-05-02 11:15:00+05:30,55370.2,55422.0,55177.65,55190.9,0
2025-05-02 11:45:00+05:30,55191.85,55263.9,55144.2,55173.75,0
2025-05-02 12:15:00+05:30,55170.9,55181.05,54994.4,55092.1,0
2025-05-02 12:45:00+05:30,55093.2,55185.9,55051.6,55073.25,0
2025-05-02 13:15:00+05:30,55072.8,55290.75,55072.8,55242.7,0
2025-05-02 13:45:00+05:30,55241.9,55279.15,55168.6,55227.6,0
2025-05-02 14:15:00+05:30,55226.8,55244.9,54997.0,55095.95,0
2025-05-02 14:45:00+05:30,55090.55,55246.85,55077.95,55177.6,0
2025-05-02 15:15:00+05:30,55175.25,55183.1,55037.3,55055.15,0
2025-05-05 09:15:00+05:30,55065.8,55345.5,54891.35,55017.85,0
2025-05-05 09:45:00+05:30,55018.3,55136.9,54939.6,55038.9,0
2025-05-05 10:15:00+05:30,55043.2,55180.0,55026.1,55148.35,0
2025-05-05 10:45:00+05:30,55146.25,55154.0,54932.5,54975.8,0
2025-05-05 11:15:00+05:30,54979.7,54992.3,54857.9,54911.5,0
2025-05-05 11:45:00+05:30,54912.85,54925.4,54824.6,54875.05,0
2025-05-05 12:15:00+05:30,54876.05,54880.9,54795.25,54820.0,0
2025-05-05 12:45:00+05:30,54824.1,54930.55,54786.5,54895.35,0
2025-05-05 13:15:00+05:30,54889.8,54979.1,54859.0,54968.25,0
2025-05-05 13:45:00+05:30,54965.9,55048.0,54956.6,55005.6,0
2025-05-05 14:15:00+05:30,55004.25,55081.15,54933.3,55005.4,0
2025-05-05 14:45:00+05:30,55005.9,55035.75,54880.15,54904.9,0
2025-05-05 15:15:00+05:30,54904.25,54963.0,54895.2,54907.2,0
2025-05-05 15:45:00+05:30,54919.5,54919.5,54919.5,54919.5,0
2025-05-06 09:15:00+05:30,54918.25,55036.95,54677.25,54699.3,0
2025-05-06 09:45:00+05:30,54696.25,54736.7,54600.15,54601.0,0
2025-05-06 10:15:00+05:30,54595.2,54601.2,54495.75,54536.05,0
2025-05-06 10:45:00+05:30,54536.5,54580.65,54487.65,54534.15,0
2025-05-06 11:15:00+05:30,54532.8,54545.75,54400.6,54445.35,0
2025-05-06 11:45:00+05:30,54448.9,54519.55,54423.2,54515.05,0
2025-05-06 12:15:00+05:30,54515.55,54570.55,54477.6,54490.35,0
2025-05-06 12:45:00+05:30,54489.2,54519.45,54453.5,54498.25,0
2025-05-06 13:15:00+05:30,54499.25,54537.75,54465.15,54517.2,0
2025-05-06 13:45:00+05:30,54510.95,54583.25,54483.85,54512.4,0
2025-05-06 14:15:00+05:30,54517.6,54522.5,54383.3,54414.15,0
2025-05-06 14:45:00+05:30,54412.5,54413.6,54244.8,54284.45,0
2025-05-06 15:15:00+05:30,54284.35,54290.4,54172.95,54183.85,0
2025-05-07 09:15:00+05:30,54013.4,54672.9,53919.9,54567.65,0
2025-05-07 09:45:00+05:30,54567.6,54586.95,54261.45,54307.35,0
2025-05-07 10:15:00+05:30,54306.9,54363.65,54222.2,54331.8,0
